,Name,City,StartPrice,DistanceFromCityCentre,OverallScore,RatingCategory,Atmosphere,Cleanliness,Facilities,Location,Security,Staff,ValueForMoney,Longitude,Latitude
194,JGH Tokyo,Tokyo,1600,13.2,8.4,Fabulous,8.1,8.0,8.1,7.1,8.8,9.8,8.9,139.708425,35.807266399999996
195,Jimbocho Sakura Hotel,Tokyo,2200,5.9,9.4,Superb,9.0,9.5,10.0,9.0,9.0,9.5,10.0,139.75645500000002,35.694959000000004
197,Juyoh Hotel,Tokyo,2900,10.7,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.726710600000004
198,Kaisu Hostel,Tokyo,3900,4.4,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.73453700000002,35.669916
202,Khaosan Tokyo Kabuki,Tokyo,3000,9.7,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9.0,139.795251,35.711436
203,Khaosan Tokyo Laboratory,Tokyo,2600,9.3,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
204,Khaosan Tokyo Origami,Tokyo,2500,10.0,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
205,Khaosan Tokyo Samurai,Tokyo,2500,9.5,9.2,Superb,8.0,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
206,Khaosan World Asakusa RYOKAN & HOSTEL,Tokyo,2500,9.5,8.8,Fabulous,8.5,8.7,8.5,8.9,9.0,9.2,8.6,139.79177099999998,35.714595
208,Khaosan World Ryogoku Hostel,Tokyo,2300,9.5,9.0,Superb,8.2,9.1,8.9,9.6,9.1,9.3,8.4,139.7967617,35.694325899999995
227,Lyuro Tokyo Kiyosumi -The Share Hotels-,Tokyo,3200,9.1,9.4,Superb,9.3,10.0,10.0,7.3,10.0,9.3,10.0,139.79206580000002,35.6812172
232,MyCUBE by MYSTAYS Asakusa-Kuramae,Tokyo,3200,9.2,8.8,Fabulous,8.0,9.5,9.0,8.0,9.0,9.0,9.0,139.7920033,35.703785700000005
233,Nadeshiko Hotel Shibuya (Female Only),Tokyo,5500,3.8,9.2,Superb,8.7,9.7,9.7,8.7,9.7,9.3,8.7,139.69298799999999,35.6550972
235,Nihonbashi Muromachi BAY HOTEL,Tokyo,4000,7.6,9.2,Superb,9.0,9.7,8.7,8.3,10.0,9.3,9.3,139.7756795,35.6872974
237,Nui. Hostel & Bar Lounge,Tokyo,2500,9.3,9.3,Superb,9.5,9.6,9.4,8.6,9.3,9.6,9.4,139.7933951,35.7038859
239,Oak Hostel Zen,Tokyo,2200,8.8,9.0,Superb,8.2,8.9,8.9,9.1,9.6,9.3,8.9,139.7809311,35.721903399999995
240,Oak Hotel Edo,Tokyo,2200,9.7,7.6,Very Good,4.0,10.0,8.0,8.0,8.0,8.0,7.0,139.798931,35.687915600000004
241,Oakhostel Cabin,Tokyo,2100,8.6,9.0,Superb,8.1,9.5,9.1,8.4,9.4,9.2,9.2,139.7859882,35.678055
242,Oakhostel Fuji,Tokyo,2000,10.0,9.0,Superb,8.2,9.2,8.9,8.9,9.4,9.1,9.2,139.8009084,35.706925399999996
243,Oakhostel Sakura,Tokyo,1800,11.3,9.2,Superb,8.0,10.0,9.3,9.3,9.7,9.0,9.0,139.8152216,35.707390000000004
244,Obi Hostel,Tokyo,2000,8.2,9.1,Superb,8.4,9.2,9.0,9.0,9.3,9.4,9.1,139.7819046,35.6920482
269,Planetyze Hostel,Tokyo,2400,8.5,9.3,Superb,8.6,9.5,9.0,9.3,9.6,9.6,9.3,139.786004,35.694492
273,Quality Hostel K's House Tokyo Oasis,Tokyo,3000,9.6,9.0,Superb,8.2,9.6,8.4,9.1,9.5,9.3,8.7,139.7935305,35.715796000000005
275,Retrometro Backpackers,Tokyo,3000,9.2,9.4,Superb,9.4,9.4,9.0,9.4,9.5,9.8,9.6,139.7893615,35.7131573
